Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles
10041,10041,,{'scopus_id': 57199323129},"{'full_name': 'Mulyukin, Alexey'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},5,12,8,0.222308,0.234762,1043.821794,0,5,0.4,4
10042,10042,,{'scopus_id': 56588035400},"{'full_name': 'Shapochkin, Pavel Y.U.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},20,75,7,0.252641,0.271737,8146.571639,0,21,0.468421,89
10043,10043,,{'scopus_id': 56369536800},"{'full_name': 'Lozhkin, Maksim S.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},13,52,7,0.245273,0.261494,0,0,21,1,78
10044,10044,,{'scopus_id': 57035353100},"{'full_name': 'Solovev, Ivan A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},13,52,7,0.245273,0.261494,0,0,21,1,78
10045,10045,,{'scopus_id': 15843804800},"{'full_name': 'Lozhkina, Olga A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},13,52,7,0.245273,0.261494,0,0,21,1,78
10046,10046,,{'scopus_id': 7005645470},"{'full_name': 'Efimov, Yury P.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},13,52,7,0.245273,0.261494,0,0,21,1,78
10047,10047,,{'scopus_id': 57197426162},"{'full_name': 'Eliseev, Sergey A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},13,52,7,0.245273,0.261494,0,0,21,1,78
10048,10048,,{'scopus_id': 57035480400},"{'full_name': 'Lovcjus, Vyacheslav A.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},13,52,7,0.245273,0.261494,0,0,21,1,78
10049,10049,,{'scopus_id': 7103021219},"{'full_name': 'Kozlov, Gleb G.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},13,52,7,0.245273,0.261494,0,0,21,1,78
10052,10052,,{'scopus_id': 55036935400},"{'full_name': 'Rud, Oleg'}",{'department': nan},{'country': 'Russian Federation'},"{'university': 'Institute of Macromolecular Compounds, Russian Academy of Sciences'}",{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},2,8,8,0.215001,0.224484,0,0,5,1,1
