Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles,eigencentrality
7061,7061,,{'scopus_id': 55507568200},"{'full_name': 'Filchenkov, Andrey'}",{'department': '[717] факультет информационных технологий и программирования'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'position': 'доцент (квалификационная категория ""ординарный доцент"")'}",{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[717] факультет информационных технологий и программирования'},34,83,8,0.274004,0.297759,89771.653593,0,4,0.092692,52,0.066204
7490,7490,,{'scopus_id': 55382199400},"{'full_name': 'Kovalchuk, Sergey V.'}",{'department': '[738] Институт дизайна и урбанистики'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'доцент'},{'total_pub': 14},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[738] Институт дизайна и урбанистики'},45,136,8,0.235933,0.258339,50629.699873,0,37,0.125253,124,0.053734
6236,6236,,{'scopus_id': 22835225400},"{'full_name': 'Iorsh, I. V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 13},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},59,152,7,0.309418,0.348883,89484.45316,0,16,0.172414,295,0.493237
6255,6255,,{'scopus_id': 57193544248},"{'full_name': 'Morozov, K. M.'}",{'department': '[157] научно-исследовательский центр перспективных функциональных материалов и лазерных коммуникационных систем'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 13},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[157] научно-исследовательский центр перспективных функциональных материалов и лазерных коммуникационных систем'},28,114,7,0.279914,0.30248,25784.645894,0,13,0.261905,99,0.107773
6581,6581,,{'scopus_id': 56128063300},"{'full_name': 'Korobeynikov, A. G.'}",{'department': '[763] факультет безопасности информационных технологий'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'профессор'},{'total_pub': 13},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[763] факультет безопасности информационных технологий'},30,121,8,0.262975,0.285518,25594.620731,0,0,0.190805,83,0.065057
6958,6958,,{'scopus_id': 15050740400},"{'full_name': 'Kapitanova, P. V.'}",{'department': '[768] физический факультет'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'научный сотрудник'},{'total_pub': 13},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[768] физический факультет'},47,190,8,0.285857,0.315972,15428.314669,0,5,0.235893,255,0.349353
7049,7049,,{'scopus_id': 56498728700},"{'full_name': 'Gusarova, Natalia'}",{'department': '[725] факультет инфокоммуникационных технологий'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'position': 'доцент (квалификационная категория ""ординарный доцент"")'}",{'total_pub': 13},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[725] факультет инфокоммуникационных технологий'},53,206,8,0.252687,0.276959,27281.475145,0,38,0.198113,273,0.120991
6264,6264,,{'scopus_id': 35573748100},"{'full_name': 'Kirilenko, D. A.'}",{'department': '[164] транснациональная научно-образовательная лаборатория перспективных методов исследования материалов UniFEL'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 12},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[164] транснациональная научно-образовательная лаборатория перспективных методов исследования материалов UniFEL'},76,183,7,0.296833,0.331251,115226.557759,0,6,0.117544,335,0.366468
6304,6304,,{'scopus_id': 7103166835},"{'full_name': 'Kozlov, S. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 12},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},27,151,8,0.273117,0.295797,15168.251894,0,39,0.336182,118,0.107093
6308,6308,,{'scopus_id': 57035485600},"{'full_name': 'Reznik, R. R.'}",{'department': '[157] научно-исследовательский центр перспективных функциональных материалов и лазерных коммуникационных систем'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 12},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[157] научно-исследовательский центр перспективных функциональных материалов и лазерных коммуникационных систем'},50,165,8,0.29564,0.325923,40617.224179,0,6,0.228571,280,0.357342
