Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,clustering,triangles,componentnumber
351,351,,{'scopus_id': 55750527100},"{'full_name': 'Timin, Alexander S.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 12},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},50,193,7,0.300516,0.333128,36222.976548,0.229568,4,0.213878,262,0
366,366,,{'scopus_id': 35334793300},"{'full_name': 'Loiko, Pavel'}",{'department': nan},{'country': 'France'},"{'university': ""École nationale supérieure d'ingénieurs de Caen""}",{'position': nan},{'total_pub': 12},{'itmo_and_others': 'France'},{'itmo_depart_and_others': 'France'},59,219,7,0.281883,0.312669,33640.286661,0.154372,41,0.218001,373,0
452,452,,{'scopus_id': 55971675200},"{'full_name': 'Park, Hong Gyu'}",{'department': nan},{'country': 'South Korea'},{'university': 'Korea University'},{'position': nan},{'total_pub': 12},{'itmo_and_others': 'South Korea'},{'itmo_depart_and_others': 'South Korea'},27,172,7,0.306545,0.333957,5523.672161,0.220098,35,0.393162,138,0
653,653,,{'scopus_id': 7006264796},"{'full_name': 'Rogach, A. L.'}",{'department': nan},{'country': 'Hong Kong'},{'university': 'City University of Hong Kong'},{'position': nan},{'total_pub': 12},{'itmo_and_others': 'Hong Kong'},{'itmo_depart_and_others': 'Hong Kong'},68,186,6,0.303024,0.33781,81286.868797,0.242202,12,0.148815,339,0
709,709,,{'scopus_id': 7201779543},"{'full_name': 'Polyakov, Andrey'}",{'department': '[773] мегафакультет компьютерных технологий и управления'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'старший научный сотрудник'},{'total_pub': 12},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': '[773] мегафакультет компьютерных технологий и управления'},25,79,7,0.248688,0.269039,13749.45657,0.028435,10,0.163333,49,0
1763,1763,,{'scopus_id': 57213542823},"{'full_name': 'Zhdanov, D. D.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 12},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},25,95,7,0.226323,0.244054,20911.233642,0.027568,8,0.273333,82,0
31,31,,{'scopus_id': 57092676600},"{'full_name': 'Kotlyar, K. P.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint Petersburg State University'},{'position': nan},{'total_pub': 11},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},40,188,7,0.287241,0.315157,10171.493055,0.224264,3,0.335897,262,0
57,57,,{'scopus_id': 8321276100},"{'full_name': 'Bougrov, V. E.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 11},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},57,228,6,0.286887,0.315916,43536.836985,0.24063,2,0.246241,393,0
66,66,,{'scopus_id': 7202768874},"{'full_name': 'Romanov, A. E.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 11},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},38,160,7,0.275794,0.299934,27656.177562,0.106552,17,0.332859,234,0
253,253,,{'scopus_id': 6602189454},"{'full_name': 'Uspenskaya, Mayya V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 11},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},43,136,7,0.287211,0.317536,30818.320344,0.13704,13,0.256921,232,0
