Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class,eigencentrality,clustering,triangles,componentnumber,modularity_class
5284,5284,,{'scopus_id': 57204715013},"{'full_name': 'Kassirov, Ilya S.'}",{'department': nan},{'country': 'Russian Federation'},{'university': 'Saint-Petersburg Pasteur Institute'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Russian Federation'},{'itmo_depart_and_others': 'Russian Federation'},16,68,8,0.269281,0.29108,13400.994729,0,0.106803,0.5,60,0,19
5286,5286,,{'scopus_id': 56400933200},"{'full_name': 'Zun, P. S.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},10,36,9,0.234547,0.25023,13280,0,0.02023,0.466667,21,0,19
5287,5287,,{'scopus_id': 57201346082},"{'full_name': 'Narracott, A. J.'}",{'department': nan},{'country': 'United Kingdom'},{'university': 'The University of Sheffield'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'United Kingdom'},{'itmo_depart_and_others': 'United Kingdom'},4,16,10,0.19003,0.198142,0,0,0.002454,1,6,0,19
5288,5288,,{'scopus_id': 34769960600},"{'full_name': 'Evans, P. C.'}",{'department': nan},{'country': 'United Kingdom'},{'university': 'The University of Sheffield'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'United Kingdom'},{'itmo_depart_and_others': 'United Kingdom'},4,16,10,0.19003,0.198142,0,0,0.002454,1,6,0,19
5289,5289,,{'scopus_id': 57191619250},"{'full_name': 'van Rooij, B. J.M.'}",{'department': nan},{'country': 'Netherlands'},{'university': 'Universiteit van Amsterdam'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Netherlands'},{'itmo_depart_and_others': 'Netherlands'},4,16,10,0.19003,0.198142,0,0,0.002454,1,6,0,19
5290,5290,,{'scopus_id': 7007050341},"{'full_name': 'Hoekstra, A. G.'}",{'department': nan},{'country': 'Netherlands'},{'university': 'Universiteit van Amsterdam'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Netherlands'},{'itmo_depart_and_others': 'Netherlands'},4,16,10,0.19003,0.198142,0,0,0.002454,1,6,0,19
5291,5291,,{'scopus_id': 17435610600},"{'full_name': 'Shevkunov, Igor'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},6,20,8,0.236281,0.249486,0,0,0.013822,1,15,0,18
5293,5293,,{'scopus_id': 36444977600},"{'full_name': 'Claus, Daniel'}",{'department': nan},{'country': 'Germany'},{'university': 'Medizinischen Fakultät der Universität Ulm'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Germany'},{'itmo_depart_and_others': 'Germany'},6,20,8,0.236281,0.249486,0,0,0.013822,1,15,0,18
5294,5294,,{'scopus_id': 7005345272},"{'full_name': 'Pedrini, Giancarlo'}",{'department': nan},{'country': 'Germany'},{'university': 'Universität Stuttgart'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Germany'},{'itmo_depart_and_others': 'Germany'},6,20,8,0.236281,0.249486,0,0,0.013822,1,15,0,18
5295,5295,,{'scopus_id': 23970330200},"{'full_name': 'Barettin, Daniele'}",{'department': nan},{'country': 'Italy'},{'university': 'Niccolò Cusano University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Italy'},{'itmo_depart_and_others': 'Italy'},17,132,7,0.288843,0.312909,15095.233291,0,0.154932,0.522059,71,0,18
