Id,Label,timeset,0,1,2,3,4,5,6,7,8,degree,weighted degree,componentnumber,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,modularity_class,clustering,triangles
17378,17378,,{'scopus_id': 55755097800},"{'full_name': 'Nuryev, R. K.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},5,32,0,7,0.234926,0.265762,0,0.030942,17,1,10
17379,17379,,{'scopus_id': 55637497100},"{'full_name': 'Ermakov, Victor A.'}",{'department': nan},{'country': 'Brazil'},{'university': 'Universidade Estadual de Campinas'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Brazil'},{'itmo_depart_and_others': 'Brazil'},4,16,0,7,0.266108,0.292315,0,0.035098,18,1,6
17380,17380,,{'scopus_id': 55636870000},"{'full_name': 'Alaferdov, Andrei V.'}",{'department': nan},{'country': 'Brazil'},{'university': 'Universidade Estadual de Campinas'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Brazil'},{'itmo_depart_and_others': 'Brazil'},4,16,0,7,0.266108,0.292315,0,0.035098,18,1,6
17381,17381,,{'scopus_id': 7103061103},"{'full_name': 'Vaz, Alfredo R.'}",{'department': nan},{'country': 'Brazil'},{'university': 'Universidade Estadual de Campinas'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Brazil'},{'itmo_depart_and_others': 'Brazil'},4,16,0,7,0.266108,0.292315,0,0.035098,18,1,6
17382,17382,,{'scopus_id': 6507796594},"{'full_name': 'Moshkalev, Stanislav A.'}",{'department': nan},{'country': 'Brazil'},{'university': 'Universidade Estadual de Campinas'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Brazil'},{'itmo_depart_and_others': 'Brazil'},4,21,0,7,0.266108,0.292315,0,0.035098,18,1,6
17383,17383,,{'scopus_id': 55243294600},"{'full_name': 'Kopylova, Tatyana V.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},3,15,0,8,0.194628,0.212199,0,0.005358,6,1,3
17385,17385,,{'scopus_id': 16068007200},"{'full_name': 'Arakantsev, Konstantin G.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},2,4,0,7,0.226923,0.246011,0,0.008953,6,1,1
17386,17386,,{'scopus_id': 6506557038},"{'full_name': 'Grudinkin, S. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},10,35,0,6,0.284828,0.319007,4097.691266,0.099175,19,0.511111,23
17387,17387,,{'scopus_id': 57548569900},"{'full_name': 'Feoktistov, N. A.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},7,28,0,6,0.278677,0.308596,0,0.094466,19,1,21
17390,17390,,{'scopus_id': 50760951300},"{'full_name': 'Bogdanov, K. V.'}","{'department': '[425] центр ""Информационные оптические технологии""'}",{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': 'инженер'},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}","{'itmo_depart_and_others': '[425] центр ""Информационные оптические технологии""'}",7,28,0,6,0.278677,0.308596,0,0.094466,19,1,21
17392,17392,,{'scopus_id': 55634832500},"{'full_name': 'Savelev, Roman S.'}",{'department': 'ITMO Unknown'},{'country': 'Russian Federation'},"{'university': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'position': nan},{'total_pub': 1},"{'itmo_and_others': 'Saint Petersburg National Research University of Information Technologies, Mechanics and Optics University ITMO'}",{'itmo_depart_and_others': 'ITMO Unknown'},7,24,0,8,0.270997,0.316012,0,0.159155,0,1,21
17393,17393,,{'scopus_id': 7004663644},"{'full_name': 'Sukhorukov, Andrey A.'}",{'department': nan},{'country': 'Australia'},{'university': 'The Australian National University'},{'position': nan},{'total_pub': 1},{'itmo_and_others': 'Australia'},{'itmo_depart_and_others': 'Australia'},7,48,0,8,0.270997,0.316012,0,0.159155,0,1,21
